,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,bass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,<— 0-127 —>,,,<— 1-128 —>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,cc 0,PGM,,cc 0,PGM,,preset name,category,characters,sendmidi command,acoustic-dark,digital-intimate,layered-reverberant,shaking-woody,acoustic,aggressive,airy,analog,atonal,big,bright,chords,clean,dark,digital,distorted,dry,echo,electric,ensemble,evolving,fm,icy,Intimate,layered,lfo,lofi,metallic,morphing,nature,noise,portamento,random,reverberant,shaking,simple,soft,stereo,strumming,synthetic,vocal,warm,woody
,31,56,,32,57,,fourad,bass,analog + distorted,"sendmidi dev ""Osmose Port 2"" cc 0 31 pc 56",analog,distorted,,,,,,analog,,,,,,,,distorted,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31,57,,32,58,,fretless bass,bass,acoustic + portamento,"sendmidi dev ""Osmose Port 2"" cc 0 31 pc 57",acoustic,,portamento,,acoustic,,,,,,,,,,,,,,,,,,,,,,,,,,,portamento,,,,,,,,,,,
,31,76,,32,77,,grittysaw,bass,analog + distorted,"sendmidi dev ""Osmose Port 2"" cc 0 31 pc 76",analog,distorted,,,,,,analog,,,,,,,,distorted,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31,86,,32,87,,hollowrez,bass,analog,"sendmidi dev ""Osmose Port 2"" cc 0 31 pc 86",analog,,,,,,,analog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31,107,,32,108,,juknow that bass,bass,analog + big + clean + simple + soft + stereo,"sendmidi dev ""Osmose Port 2"" cc 0 31 pc 107",analog + big + clean,,,simple + soft + stereo,,,,analog,,big,,,clean,,,,,,,,,,,,,,,,,,,,,,,simple,soft,stereo,,,,,
,31,121,,32,122,,kinespeech,bass,analog + vocal,"sendmidi dev ""Osmose Port 2"" cc 0 31 pc 121",analog,,,vocal,,,,analog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vocal,,
,32,5,,33,6,,lacous bass,bass,acoustic + portamento,"sendmidi dev ""Osmose Port 2"" cc 0 32 pc 5",acoustic,,portamento,,acoustic,,,,,,,,,,,,,,,,,,,,,,,,,,,portamento,,,,,,,,,,,
,32,7,,33,8,,ladder bass,bass,analog + lfo + synthetic,"sendmidi dev ""Osmose Port 2"" cc 0 32 pc 7",analog,,lfo,synthetic,,,,analog,,,,,,,,,,,,,,,,,,lfo,,,,,,,,,,,,,,synthetic,,,
,32,58,,33,59,,night bass,bass,analog + portamento,"sendmidi dev ""Osmose Port 2"" cc 0 32 pc 58",analog,,portamento,,,,,analog,,,,,,,,,,,,,,,,,,,,,,,,portamento,,,,,,,,,,,
,32,92,,33,93,,outspoken,bass,analog,"sendmidi dev ""Osmose Port 2"" cc 0 32 pc 92",analog,,,,,,,analog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,32,109,,33,110,,piercing bass,bass,aggressive + big + dark + digital,"sendmidi dev ""Osmose Port 2"" cc 0 32 pc 109",aggressive + big + dark,digital,,,,aggressive,,,,big,,,,dark,digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,32,114,,33,115,,pl-bass,bass,analog + dry + warm,"sendmidi dev ""Osmose Port 2"" cc 0 32 pc 114",analog,dry,,warm,,,,analog,,,,,,,,,dry,,,,,,,,,,,,,,,,,,,,,,,,,warm,
,32,126,,33,127,,pulzz,bass,analog,"sendmidi dev ""Osmose Port 2"" cc 0 32 pc 126",analog,,,,,,,analog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,5,,34,6,,reesotto,bass,aggressive + digital,"sendmidi dev ""Osmose Port 2"" cc 0 33 pc 5",aggressive,digital,,,,aggressive,,,,,,,,,digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,6,,34,7,,reesy rider,bass,aggressive + analog + distorted + stereo,"sendmidi dev ""Osmose Port 2"" cc 0 33 pc 6",aggressive + analog,distorted,,stereo,,aggressive,,analog,,,,,,,,distorted,,,,,,,,,,,,,,,,,,,,,,stereo,,,,,
,33,19,,34,20,,rusty bass,bass,dark + digital + fm + soft,"sendmidi dev ""Osmose Port 2"" cc 0 33 pc 19",dark,digital + fm,,soft,,,,,,,,,,dark,digital,,,,,,,fm,,,,,,,,,,,,,,,soft,,,,,,
,33,20,,34,21,,rusty square,bass,analog + distorted,"sendmidi dev ""Osmose Port 2"" cc 0 33 pc 20",analog,distorted,,,,,,analog,,,,,,,,distorted,,,,,,,,,,,,,,,,,,,,,,,,,,,
